customer_id,customer_feedback,support_chat_excerpt,reason_for_low_activity,
C100000,,,,
C100001,,,,
C100002,,,,
C100003,,,,
C100004,,,,
C100005,,,,
C100006,,,,
C100007,,,,
C100008,,,,
C100009,,,,
C100010,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti kalau dah cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here weeks ago.
Agent:  I'm so sorry for the delay, let me check on that for you right away.",Delivery delay,
C100011,,,,
C100012,,,,
C100013,,,,
C100014,,,,
C100015,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery time lah. ",Customer: My order still hasn't arrived!  It's been ages.,Long delivery time,
C100016,,,,
C100017,,,,
C100018,,,,
C100019,,,,
C100020,,,,
C100021,,,,
C100022,,,,
C100023,"Sangat kecewa dengan tempoh penghantaran, dah lama sangat!  Takde apa-apa pun yang boleh buat pasal order saya.","Customer: My order is still not here!  It's been so long.
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100024,,,,
C100025,,,,
C100026,,,,
C100027,,,,
C100028,,,,
C100029,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I sincerely apologize for the delay. Let me check on the status for you.",Late delivery,
C100030,"Sangat kecewa dengan order saya, lambat sangat!  And the refund process was a bit slow too, took ages to get my money back. ",Customer: 'My order is still not here!  It was supposed to arrive a week ago.',Refund issue,
C100031,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery. ",Customer:  My order still hasn't arrived!  It's been ages.,Long delivery time,
C100032,"Slightly disappointed, the delivery took ages!  I really wanted to order again, but it's a bit of a hassle now.  Maybe need to look at shipping options next time.","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long delivery time,
C100033,,,,
C100034,,,,
C100035,,,,
C100036,,,,
C100037,,,,
C100038,,,,
C100039,,,,
C100040,,,,
C100041,,,,
C100042,,,,
C100043,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah belanja banyak barang, tapi tak dapat pulak.",Customer: My order still hasn't arrived!  It was supposed to be here ages ago.,Delivery delay,
C100044,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here!  It was supposed to arrive last week.' Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,
C100045,,,,
C100046,,,,
C100047,,,,
C100048,"Slightly disappointed, the delivery took ages!  I need to order more often, but things are a bit pricey now, you know?","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long time since last purchase,
C100049,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Delivery delay,
C100050,,,,
C100051,"Sangat kecewa dengan order last time, lambat sgt!  Hopefully next time delivery cepat, and the product is good.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay,
C100052,,,,
C100053,,,,
