customer_id,chat_log,chat_sentiment_score,chat_length,has_negative_keywords
CUST000001,I'd like to know about your loyalty program. Thank you.,0.546,55,False
CUST000002,I'd like to know about your loyalty program. Please help.,0.404,57,False
CUST000003,This is ridiculous. I'm never shopping here again. I need assistance.,0.055,69,False
CUST000004,I want a refund immediately. This is the worst experience ever. Thank you.,0.088,74,True
CUST000005,Great prices and fast shipping. Very satisfied! I need assistance.,0.878,66,False
CUST000006,Your customer service is terrible. No one responds to my emails. Looking forward to your reply.,0.205,95,True
CUST000007,Your customer service team is amazing! Please help.,0.991,51,False
CUST000008,Can you explain your warranty policy? Looking forward to your reply.,0.478,68,False
CUST000009,This is ridiculous. I'm never shopping here again. Looking forward to your reply.,0.022,81,False
CUST000010,Can I change my order before it ships? Looking forward to your reply.,0.401,69,False
CUST000011,I'm interested in bulk ordering. Thank you.,0.554,43,False
CUST000012,I'll definitely shop here again. Great job! Thank you.,0.966,54,False
CUST000013,This is the best online shopping experience I've had. I need assistance.,0.794,72,False
CUST000014,I'll definitely shop here again. Great job! Thank you.,0.769,54,False
CUST000015,This is ridiculous. I'm never shopping here again. Looking forward to your reply.,0.241,81,False
CUST000016,I want to subscribe to your newsletter. Looking forward to your reply.,0.564,70,False
CUST000017,My package was damaged and you're refusing to help. Can someone respond?,0.125,72,True
CUST000018,I'd like to know about your loyalty program. Looking forward to your reply.,0.589,75,False
CUST000019,I love your service! Keep up the great work. Looking forward to your reply.,0.715,75,False
CUST000020,The product quality is excellent. Highly recommend! Please help.,0.945,64,False
CUST000021,I'm so satisfied with my purchase. Thank you! Looking forward to your reply.,0.802,76,False
CUST000022,I have a question about shipping options. I need assistance.,0.432,60,False
CUST000023,I paid for express shipping but it's been delayed. Thank you.,0.214,61,False
CUST000024,I'll definitely shop here again. Great job! Looking forward to your reply.,0.897,74,False
CUST000025,My package was damaged and you're refusing to help. Please help.,0.08,64,True
CUST000026,Your customer service is terrible. No one responds to my emails. Thank you.,0.289,75,True
CUST000027,The packaging was perfect and the product arrived safely. Looking forward to your reply.,0.871,88,False
CUST000028,The packaging was perfect and the product arrived safely. Can someone respond?,0.963,78,False
CUST000029,Can you explain your warranty policy? Can someone respond?,0.573,58,False
CUST000030,Can you help me with product recommendations? Can someone respond?,0.54,66,False
CUST000031,Can you explain your warranty policy? Can someone respond?,0.475,58,False
CUST000032,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.786,75,False
CUST000033,I have a question about shipping options. Please help.,0.508,54,False
CUST000034,I love your service! Keep up the great work. Please help.,0.708,57,False
CUST000035,Your customer service is terrible. No one responds to my emails. Looking forward to your reply.,0.123,95,True
CUST000036,Can you tell me more about this product? Looking forward to your reply.,0.591,71,False
CUST000037,Can I change my order before it ships? Please help.,0.471,51,False
CUST000038,I love your service! Keep up the great work. Can someone respond?,0.82,65,False
CUST000039,What payment methods do you accept? Please help.,0.501,48,False
CUST000040,I'd like to know about your loyalty program. Thank you.,0.405,55,False
CUST000041,The website is broken and I can't complete my purchase. Can someone respond?,0.137,76,True
CUST000042,I'd like to know about your loyalty program. I need assistance.,0.592,63,False
CUST000043,I've called multiple times but no one helps me. Thank you.,0.021,58,False
CUST000044,The product I received was completely different from what I ordered. I need assistance.,0.085,87,False
CUST000045,The product quality is excellent. Highly recommend! Thank you.,0.812,62,False
CUST000046,I've called multiple times but no one helps me. I need assistance.,0.096,66,False
CUST000047,The product I received was completely different from what I ordered. Thank you.,0.285,79,False
CUST000048,I'm impressed with your customer service. Can someone respond?,0.902,62,False
CUST000049,The website is broken and I can't complete my purchase. I need assistance.,0.027,74,True
