customer_id,age,gender,state,income_band,tenure_days,segment,orders_90d,orders_30d,avg_order_value,total_spend_90d,days_since_last_order,browse_sessions_30d,cart_abandon_rate,return_rate,refund_count_90d,discount_ratio,coupon_used_rate,delivery_delay_rate,late_delivery_count,failed_delivery_count,tickets_90d,avg_first_response_hours,email_open_rate,push_open_rate,loyalty_points_balance,app_rating,churn,customer_feedback_x,support_chat_excerpt_x,reason_for_low_activity_x,customer_feedback_y,support_chat_excerpt_y,reason_for_low_activity_y,customer_feedback,support_chat_excerpt,reason_for_low_activity
C100000,33,M,Johor,B40,279,new,4,2,23.13,110.43,0,7,0.496,0.145,0,0.415,0.372,0.281,1,0,1,5.46,0.172,0.553,98,3.7,0,,,,,,,,,
C100001,21,F,Kelantan,B40,153,regular,4,3,48.43,219.55,105,8,0.557,0.012,0,0.483,0.987,0.05,0,0,0,9.53,0.0,0.0,175,4.3,1,,,,,,,,,
C100002,37,F,Sarawak,T20,126,new,1,0,25.85,21.88,116,7,0.98,0.103,0,0.248,0.234,0.124,0,0,0,3.46,0.0,0.072,19,5.0,1,,,,,,,,,
C100003,38,F,Johor,M40,222,loyal,6,3,33.25,166.47,88,17,0.448,0.074,1,0.339,0.28,0.069,0,0,0,13.67,0.0,0.13,196,5.0,1,,,,,,,,,
C100004,18,F,Sarawak,B40,165,new,3,1,41.52,139.68,18,8,0.469,0.032,0,0.237,0.515,0.0,0,0,0,,0.42,0.0,51,4.4,0,,,,,,,,,
C100005,18,F,Terengganu,B40,94,regular,2,1,74.63,124.07,30,17,0.202,0.018,0,,0.496,0.013,0,0,0,5.8,0.344,0.098,112,4.0,0,,,,,,,,,
C100006,31,F,Johor,T20,495,regular,1,0,87.29,78.99,88,6,0.634,0.018,0,0.173,0.36,0.033,0,0,0,13.49,0.0,0.351,81,4.6,0,,,,,,,,,
C100007,27,M,Sabah,B40,233,new,2,1,25.3,56.7,58,3,0.496,0.009,0,0.43,0.582,0.046,0,0,0,3.67,0.55,0.0,39,4.7,1,,,,,,,,,
C100008,30,F,Kelantan,M40,177,regular,5,1,32.82,190.85,65,18,0.595,0.173,2,0.709,0.703,0.078,0,0,0,9.03,0.0,0.0,110,3.8,1,,,,,,,,,
C100009,22,F,KL,B40,253,regular,9,5,48.45,482.73,48,17,0.414,0.071,1,0.279,0.327,0.01,0,0,0,8.82,0.149,0.283,383,3.9,1,,,,,,,,,
C100010,38,F,Kelantan,B40,222,regular,4,2,60.89,281.54,98,9,0.826,0.0,0,0.633,0.693,0.027,0,0,0,34.38,0.253,0.024,278,4.3,1,,,,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti kalau dah cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here weeks ago.
Agent:  I'm so sorry for the delay, let me check on that for you right away.",Delivery delay,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti kalau dah cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here weeks ago.
Agent:  I'm so sorry for the delay, let me check on that for you right away.",Delivery delay
C100011,37,F,Selangor,M40,158,premium,8,4,24.65,201.92,11,23,0.569,0.141,2,0.42,0.715,0.077,0,0,0,6.13,0.227,0.27,218,3.6,0,,,,,,,,,
C100012,31,F,Sabah,B40,598,regular,5,3,41.7,231.82,53,8,0.271,0.164,0,0.435,0.721,0.224,2,0,0,9.31,0.186,0.209,208,3.5,1,,,,,,,,,
C100013,40,F,Pahang,M40,65,loyal,6,3,37.52,211.09,23,21,0.517,0.094,0,0.211,0.005,0.235,2,0,0,6.74,0.081,0.0,186,3.2,0,,,,,,,,,
C100014,34,F,Perak,B40,85,regular,2,1,20.63,45.97,83,18,0.334,0.113,0,0.387,0.334,0.119,0,0,0,6.14,0.0,0.0,51,5.0,1,,,,,,,,,
C100015,22,M,Penang,M40,373,new,1,0,22.8,24.44,34,11,0.215,0.095,0,0.305,0.379,0.143,0,0,0,,0.621,0.065,19,3.2,0,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery time lah. ",Customer:  My order still hasn't arrived!  It's been ages.,Long delivery time,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery time lah. ",Customer: My order still hasn't arrived!  It's been ages.,Long delivery time,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery time lah. ",Customer: My order still hasn't arrived!  It's been ages.,Long delivery time
C100016,33,M,Perak,M40,228,new,1,0,29.84,30.73,35,6,0.263,0.027,0,0.309,0.667,0.006,0,0,0,6.72,0.5,0.0,19,3.2,0,,,,,,,,,
C100017,21,F,Selangor,M40,111,regular,7,2,41.29,345.95,18,13,0.248,0.209,1,0.302,0.584,0.21,0,0,0,5.38,0.335,0.355,162,2.5,1,,,,,,,,,
C100018,38,M,Selangor,B40,197,regular,1,1,57.56,56.86,101,17,0.649,0.029,0,0.432,0.625,0.108,0,0,0,8.45,0.0,0.102,24,4.5,1,,,,,,,,,
C100019,30,M,KL,M40,69,loyal,6,2,50.37,316.64,24,29,0.255,0.017,0,0.228,0.225,0.016,0,0,0,4.72,0.685,0.439,201,3.4,0,,,,,,,,,
C100020,28,M,Perak,T20,343,regular,2,1,56.35,113.15,103,14,0.557,0.008,0,0.207,0.486,0.0,0,0,0,6.05,0.166,0.0,37,4.6,1,,,,,,,,,
C100021,24,M,Johor,B40,310,regular,6,3,40.83,221.51,109,10,0.835,0.009,0,0.485,0.575,0.4,3,0,1,20.11,0.318,0.27,194,3.8,1,,,,,,,,,
C100022,41,M,KL,B40,47,regular,3,1,31.6,88.37,113,7,0.734,0.008,0,0.47,0.543,0.235,2,0,1,,0.0,0.284,96,4.8,1,,,,,,,,,
C100023,29,M,Kelantan,M40,7,regular,6,4,37.93,271.16,41,10,0.447,0.05,0,0.606,0.801,0.212,0,0,0,11.51,0.199,0.352,238,3.5,1,"Sangat kecewa dengan tempoh penghantaran, dah lama sangat!  Takde apa-apa pun yang boleh buat pasal order saya.","Customer: My order is still not here!  It's been so long.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay,"Sangat kecewa dengan tempoh penghantaran, dah lama sangat!  Takde apa-apa pun yang boleh buat pasal order saya.","Customer: My order is still not here!  It's been so long.
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay,"Sangat kecewa dengan tempoh penghantaran, dah lama sangat!  Takde apa-apa pun yang boleh buat pasal order saya.","Customer: My order is still not here!  It's been so long.
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay
C100024,26,M,Johor,B40,30,regular,4,1,51.6,197.49,76,15,0.568,0.023,0,0.14,0.124,0.098,0,0,0,7.11,0.0,0.0,234,4.1,1,,,,,,,,,
C100025,27,F,Johor,M40,92,new,1,0,52.25,56.0,99,7,0.433,0.277,1,0.44,0.482,0.071,0,0,1,11.65,0.0,0.0,63,4.8,1,,,,,,,,,
C100026,35,F,Johor,M40,1222,new,2,1,34.57,71.0,7,15,0.275,0.0,0,0.378,0.43,0.297,0,0,1,7.57,0.734,0.276,59,4.9,1,,,,,,,,,
C100027,33,F,Selangor,B40,328,regular,3,1,29.22,101.33,6,17,0.058,0.054,0,0.479,0.506,0.055,0,0,0,2.03,0.3,0.468,42,4.9,0,,,,,,,,,
C100028,34,F,Sarawak,M40,119,new,3,2,40.94,135.48,22,2,0.098,0.073,1,0.107,0.381,0.058,0,0,0,7.28,0.62,0.0,65,4.5,0,,,,,,,,,
C100029,34,F,Johor,M40,170,regular,4,1,47.81,159.16,117,19,0.697,0.078,0,0.653,0.569,0.097,1,0,0,4.48,0.0,0.0,99,4.0,1,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I apologize for the delay, sir. Let me check on the status for you.",Late delivery,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I sincerely apologize for the delay. Let me check on the status for you.",Late delivery,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I sincerely apologize for the delay. Let me check on the status for you.",Late delivery
C100030,49,F,Selangor,B40,89,new,3,1,56.04,158.4,10,6,0.282,0.134,1,0.37,0.666,0.053,0,0,1,7.16,0.082,0.56,72,4.4,0,,,,"Sangat kecewa dengan order saya, lambat sangat!  And the refund process was a bit slow too, took ages to get my money back. ",Customer: 'My order is still not here!  It was supposed to arrive a week ago.',Refund issue,"Sangat kecewa dengan order saya, lambat sangat!  And the refund process was a bit slow too, took ages to get my money back. ",Customer: 'My order is still not here!  It was supposed to arrive a week ago.',Refund issue
C100031,26,M,Terengganu,M40,49,new,0,0,28.71,0.0,91,5,0.313,0.063,0,0.384,0.972,0.126,0,0,0,10.42,0.066,0.026,0,3.2,0,,,,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery. ",Customer:  My order still hasn't arrived!  It's been ages.,Long delivery time,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery. ",Customer:  My order still hasn't arrived!  It's been ages.,Long delivery time
