customer_id,review_text,review_rating,review_sentiment_score,review_length
CUST000001,Average purchase. No major issues.,3,0.52,34
CUST000002,It's fine. Nothing exceptional.,3,0.594,31
CUST000003,The worst purchase I've made. Don't buy this product.,2,0.055,53
CUST000004,Product doesn't work as advertised. Very frustrating.,2,0.11,53
CUST000005,Wonderful product. Fast delivery. Highly recommend!,4,0.714,51
CUST000006,The worst purchase I've made. Don't buy this product.,1,0.132,53
CUST000007,Amazing quality and fast shipping. Very satisfied!,5,0.933,50
CUST000008,Average quality. Nothing special but works fine.,3,0.454,48
CUST000009,Product doesn't work as advertised. Very frustrating.,1,0.296,53
CUST000010,Fair quality. Worth the money.,3,0.563,30
CUST000011,Fair quality. Worth the money.,3,0.415,30
CUST000012,Excellent product! Exceeded my expectations. Highly recommend!,5,0.842,62
CUST000013,Fantastic product. Exceeded expectations. 5 stars!,4,0.853,50
CUST000014,Excellent purchase. Great quality and service!,5,0.723,46
CUST000015,Very disappointed. Not as described. Poor customer service.,2,0.056,59
CUST000016,Decent product. Would consider buying again.,3,0.572,44
CUST000017,Not worth the price. Very disappointed.,1,0.067,39
CUST000018,Meets basic expectations. No complaints.,3,0.465,40
CUST000019,Outstanding product and customer service. Will buy again!,5,0.784,57
CUST000020,Excellent product! Exceeded my expectations. Highly recommend!,5,0.867,62
CUST000021,Fantastic product. Exceeded expectations. 5 stars!,5,0.805,50
CUST000022,It's decent for the price. Could be better.,3,0.58,43
CUST000023,Customer service was unhelpful and rude.,2,0.071,40
CUST000024,Excellent product! Exceeded my expectations. Highly recommend!,5,0.87,62
CUST000025,Product doesn't work as advertised. Very frustrating.,2,0.073,53
CUST000026,Arrived damaged and seller refused to help. Avoid!,1,0.256,50
CUST000027,Best purchase I've made. Great value for money.,4,0.729,47
CUST000028,Perfect! Exactly as described. Love it!,4,0.922,39
CUST000029,Standard product. Gets the job done.,3,0.583,36
CUST000030,Standard product. Gets the job done.,3,0.559,36
CUST000031,Okay product. Satisfied but not thrilled.,3,0.419,41
CUST000032,Outstanding product and customer service. Will buy again!,4,0.877,57
CUST000033,It's decent for the price. Could be better.,3,0.527,43
CUST000034,Amazing quality and fast shipping. Very satisfied!,4,0.989,50
CUST000035,Product doesn't work as advertised. Very frustrating.,1,0.052,53
CUST000036,Okay product. Satisfied but not thrilled.,3,0.548,41
CUST000037,Product is okay. Does what it's supposed to do.,3,0.552,47
CUST000038,Perfect! Exactly as described. Love it!,5,0.885,39
CUST000039,Decent product. Would consider buying again.,3,0.571,44
CUST000040,Product is okay. Does what it's supposed to do.,3,0.517,47
CUST000041,Arrived damaged and seller refused to help. Avoid!,2,0.164,50
CUST000042,Product is okay. Does what it's supposed to do.,3,0.581,47
CUST000043,The worst purchase I've made. Don't buy this product.,1,0.096,53
CUST000044,Customer service was unhelpful and rude.,1,0.053,40
CUST000045,Great value and excellent quality. Highly satisfied!,5,0.933,52
CUST000046,Arrived damaged and seller refused to help. Avoid!,1,0.269,50
CUST000047,Very disappointed. Not as described. Poor customer service.,2,0.172,59
CUST000048,Fantastic product. Exceeded expectations. 5 stars!,5,0.926,50
CUST000049,Arrived damaged and seller refused to help. Avoid!,2,0.148,50
CUST000050,Customer service was unhelpful and rude.,2,0.112,40
CUST000051,Cheaply made and overpriced. Regret buying this.,1,0.289,48
CUST000052,Average purchase. No major issues.,3,0.471,34
