customer_id,age,gender,location,membership_tier,account_age_days,recency,frequency,monetary_value,avg_order_value,total_orders,days_since_last_login,cart_abandonment_rate,email_open_rate,support_tickets,frustration_index,chat_log,chat_sentiment_score,chat_length,has_negative_keywords,review_text,review_rating,review_sentiment_score,review_length,sentiment_score_avg,text_engagement_score,total_spent_per_day,order_frequency_per_month,churn,churn_probability
CUST000001,58,Male,Urban,Gold,480,0,2,88.15,44.08,2,7,0.236,0.748,0,0.366,I'd like to know about your loyalty program. Thank you.,0.546,55,False,Average purchase. No major issues.,3,0.52,34,0.533,0.445,0.1832640332640333,0.11764705882352941,0,0.33
CUST000002,18,Male,Rural,Platinum,382,0,2,245.31,122.66,2,4,0.332,0.595,2,0.44,I'd like to know about your loyalty program. Please help.,0.404,57,False,It's fine. Nothing exceptional.,3,0.594,31,0.499,0.44,0.6404960835509138,0.14563106796116507,0,0.436
CUST000003,73,Female,Rural,Silver,9,9,1,18.85,18.85,1,6,0.536,0.661,2,0.762,This is ridiculous. I'm never shopping here again. I need assistance.,0.055,69,False,The worst purchase I've made. Don't buy this product.,2,0.055,53,0.055,0.61,1.8850000000000002,0.7692307692307692,0,0.489
CUST000004,61,Other,Urban,Silver,184,0,6,126.75,21.12,6,0,0.689,0.088,0,0.892,I want a refund immediately. This is the worst experience ever. Thank you.,0.088,74,True,Product doesn't work as advertised. Very frustrating.,2,0.11,53,0.099,0.635,0.6851351351351351,0.8411214953271028,1,0.577
CUST000005,28,Other,Suburban,Bronze,336,0,3,67.16,22.39,3,1,0.348,0.339,2,0.195,Great prices and fast shipping. Very satisfied! I need assistance.,0.878,66,False,Wonderful product. Fast delivery. Highly recommend!,4,0.714,51,0.796,0.585,0.19928783382789317,0.24590163934426232,0,0.158
CUST000006,58,Other,Rural,Silver,574,0,3,91.43,30.48,3,7,0.757,0.091,5,0.958,Your customer service is terrible. No one responds to my emails. Looking forward to your reply.,0.205,95,True,The worst purchase I've made. Don't buy this product.,1,0.132,53,0.16849999999999998,0.74,0.15900869565217393,0.1490066225165563,1,0.533
CUST000007,51,Other,Suburban,Silver,178,0,7,200.19,28.6,7,6,0.164,0.791,1,0.044,Your customer service team is amazing! Please help.,0.991,51,False,Amazing quality and fast shipping. Very satisfied!,5,0.933,50,0.962,0.505,1.1183798882681564,1.0096153846153846,0,0.237
CUST000008,21,Other,Rural,Bronze,668,0,3,92.57,30.86,3,8,0.334,0.875,2,0.453,Can you explain your warranty policy? Looking forward to your reply.,0.478,68,False,Average quality. Nothing special but works fine.,3,0.454,48,0.46599999999999997,0.58,0.13837070254110612,0.12893982808022922,0,0.349
CUST000009,66,Male,Urban,Platinum,233,0,4,220.62,55.16,4,8,0.064,0.249,0,0.682,This is ridiculous. I'm never shopping here again. Looking forward to your reply.,0.022,81,False,Product doesn't work as advertised. Very frustrating.,1,0.296,53,0.159,0.67,0.9428205128205128,0.4562737642585552,0,0.354
CUST000010,56,Male,Rural,Silver,317,317,1,14.7,14.7,1,171,0.286,0.11,0,0.411,Can I change my order before it ships? Looking forward to your reply.,0.401,69,False,Fair quality. Worth the money.,3,0.563,30,0.482,0.495,0.04622641509433962,0.08645533141210375,1,0.718
CUST000011,43,Male,Rural,Gold,262,0,2,215.35,107.67,2,7,0.333,0.663,0,0.394,I'm interested in bulk ordering. Thank you.,0.554,43,False,Fair quality. Worth the money.,3,0.415,30,0.48450000000000004,0.365,0.8188212927756654,0.20547945205479454,0,0.246
CUST000012,57,Other,Rural,Bronze,47,0,8,328.49,41.06,8,0,0.36,0.268,1,0.081,I'll definitely shop here again. Great job! Thank you.,0.966,54,False,Excellent product! Exceeded my expectations. Highly recommend!,5,0.842,62,0.9039999999999999,0.58,6.843541666666667,3.116883116883117,0,0.28
CUST000013,33,Other,Urban,Gold,157,0,9,702.36,78.04,9,9,0.076,0.136,1,0.167,This is the best online shopping experience I've had. I need assistance.,0.794,72,False,Fantastic product. Exceeded expectations. 5 stars!,4,0.853,50,0.8235,0.61,4.445316455696203,1.4438502673796791,0,0.138
CUST000014,45,Male,Rural,Silver,358,0,3,271.36,90.45,3,8,0.333,0.343,1,0.196,I'll definitely shop here again. Great job! Thank you.,0.769,54,False,Excellent purchase. Great quality and service!,5,0.723,46,0.746,0.5,0.7558774373259053,0.23195876288659795,0,0.22
CUST000015,31,Female,Rural,Gold,254,0,3,130.02,43.34,3,10,0.461,0.675,3,0.707,This is ridiculous. I'm never shopping here again. Looking forward to your reply.,0.241,81,False,Very disappointed. Not as described. Poor customer service.,2,0.056,59,0.1485,0.7,0.5098823529411766,0.31690140845070425,0,0.447
CUST000016,42,Female,Suburban,Silver,579,0,5,200.4,40.08,5,7,0.031,0.329,1,0.363,I want to subscribe to your newsletter. Looking forward to your reply.,0.564,70,False,Decent product. Would consider buying again.,3,0.572,44,0.568,0.57,0.34551724137931034,0.24630541871921183,0,0.188
